"Digi-Key Part Number","Description","Mouser number","Optional?","Quantity 1","Quantity 2"
"490-1664-1-ND","          .01uF",,,"  9",
"490-1666-2-ND","           .1uF",,," 25",
"WHCR10FECT-ND","         0.1 2W",,"P&H","  8",
"490-1666-2-ND","          0.1uF",,," 15",
"311-1128-1-ND","          1.5nF",,," 11",
"RMCF0805JT1K00CT-ND","           1.6k",,,"  9",
"RMCF0805JT100KCT-ND","           100k",,,"  3",
"   WK6242-ND","            10A",,,"  1",
"RMCF0805JT10K0CT-ND","            10k",,," 25",
"RMCF0805JT10M0CT-ND","            10M",,,"  1",
"311-1099-1-ND","           10pF",,,"  3",
" 493-1279-ND","           10uF",,,"  2",
"644-1129-1-ND","          16MHZ",,,"  1",
"RMCF0805JT1K00CT-ND","             1K",,," 64",
"1N4007DICT-ND","         1N4007",,,"  1",
"1N4148WTPMSCT-ND","         1N4148",,," 14",
"1N4448W-FDICT-ND","         1N4448",,,"  1",
"   1.0W-2-ND","             1R",,,"  1",
"541-1.0VCT-ND","          1R 1W",,"Stepper driver","  2",
"RMCF0805JT2K20CT-ND","           2.2k",,,"  7",
" 565-1634-ND","         2200uF",,,"  1",
"RMCF0805JT22K0CT-ND","            22k",,,"  3",
"709-1172-1-ND","           22pF",,,"  2",
"478-3901-1-ND","           22uF",,,"  2",
"RMCF0805JT270RCT-ND","           270R",,,"  2",
"620-1158-1-ND ","           2916",,"Stepper driver","  1",
"   WK6242-ND","             2A",,"Fuse","  1",
"2N6045GOS-ND","         2N6044",,"P&H","  8",
"RMCF0805JT3K30CT-ND","           3.3k",,," 16",
"399-1151-1-ND","          3.3nF",,,"  1",
"RMCF0805JT1K00CT-ND","           3.9K",,,"  1",
"311-1123-1-ND","          330pF",,,"  1",
"478-3550-1-ND","           33nF",,,"  9",
"1N5364BRLGOSCT-ND","         33v 5w",,"P&H","  8",
"RMCF0805JT39K0CT-ND","            39k",,," 13",
"RMCF0805JT4K70CT-ND","           4.7k",,,"  2",
"BZT52C5V1-FDICT-ND","           5.1v",,," 12",
"BZT52C5V1-FDICT-ND","            5V1 zener",,,"  6",
" P680KACT-ND","           680k",,,"  3",
"RMCF0805JT68K0CT-ND","            68k",,,"  1",
"74HC86DR2GOSCT-ND","         74LS86",,"XOR gate for ignition","  1",
"AD8497ARMZ-ND","          AD597",,"EGT driver","  1",
"1N4148WTPMSCT-ND","          DIODE",,,"  4",
"768-1007-1-ND","        FT232RL",,,"  1",
"475-1415-1-ND","          0805 LED",,," 18",
"  LM1949N-ND","         LM1949",,"P&H","  8",
"LM2937ET-5.0-ND","         LM2937",,,"  1",
"MAX9924UAUB+-ND","        MAX9924",,,"  2",
"MC9S12XDP512MAL-ND","   MC9S12XDP512",,,"  1",
"LM2937IMP-5.0CT-ND","       LM2937-SOT223",,,"  1",
" MPX4100A-ND","       MPX4100A",,"AAP sensor","  1",
"MPX4250AP-ND","       MPX4250A",,"MAP sensor","  1",
"RFP30N06LE-ND","       RFP30N06",,"monster mosfet","  6",
"RFP30N06LE-ND","     RFP30N06LE",,"monster mosfet","  1",
"MBR0520LCT-ND","       SCHOTTKY",,," 12",
"UE27AC54100-ND","          USB_2",,,"1",
"AE1454-ND","USB male A-male A cable",,"connector could be changed","1",
